TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,PreviousTransactionDate,ip_loc,location_loc,location_lat,location_lon,ip_lat,ip_lon,distance_loc_ip,large_divergence,TimeSinceLastTransaction,Fraud,KMeans_Cluster,KMeans_Distance,KMeans_Fraud,ZScore_Fraud,IsoForest_Score,IsoForest_Fraud,LogReg_Fraud
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,2024-11-04 08:08:08,"34.9204,-82.2962","32.7157,-117.1610",32.7157,-117.161,34.9204,-82.2962,3220.8460680320695,False,-49477134.0,False,0,2.3910667087225472,False,False,0.09895625248708889,False,False
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,2024-11-04 08:09:35,"41.1176,-73.4079","29.7499,-95.3584",29.7499,-95.3584,41.1176,-73.4079,2348.2115501420185,False,-42823516.0,False,0,2.223378659641065,False,False,0.12616549701817376,False,False
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,2024-11-04 08:07:04,"39.9690,-83.0114","33.4245,-111.8332",33.4245,-111.8332,39.969,-83.0114,2662.965678191425,False,-41694656.0,False,0,2.1614396913191287,False,False,0.12915615087922727,False,False
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,2024-11-04 08:09:06,"6.1846,-75.5991","35.7877,-78.6442",35.7877,-78.6442,6.1846,-75.5991,3292.865734899257,False,-47403415.0,False,0,2.4942464790435968,False,False,0.10727272479661254,False,False
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,2024-11-04 08:06:39,"41.4748,-84.5524","33.7537,-84.3863",33.7537,-84.3863,41.4748,-84.5524,857.0870035004732,False,-33228915.0,False,3,2.1045471868808376,False,False,0.12544317639863295,False,False
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,2024-11-04 08:06:36,"31.2222,121.4581","35.4819,-97.5084",35.4819,-97.5084,31.2222,121.4581,11577.45040121284,True,-50165495.0,False,4,2.15639736875691,False,False,0.1131989491921887,False,False
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,2024-11-04 08:10:09,"40.7357,-74.1724","47.6080,-122.3351",47.608,-122.3351,40.7357,-74.1724,3862.1996023542742,False,-54228801.0,False,3,3.1955979075296552,False,False,0.07869704518600662,False,False
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2024-11-04 08:10:55,"52.3705,9.7332","39.7910,-86.1480",39.791,-86.148,52.3705,9.7332,6989.722670867907,False,-47139776.0,False,3,2.618042680895889,False,False,0.08559294894381864,False,False
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,2024-11-04 08:11:14,"41.8500,-87.6500","42.3314,-83.0457",42.3314,-83.0457,41.85,-87.65,384.61275903804625,False,-51289888.0,False,0,1.8673192638379346,False,False,0.130367390523201,False,False
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,2024-11-04 08:06:32,"47.5413,-122.3129","36.1744,-86.7679",36.1744,-86.7679,47.5413,-122.3129,3175.0856418208614,False,-50428775.0,False,1,1.8814229842501244,False,False,0.11234340861632008,False,False
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,2024-11-04 08:06:45,"13.2257,77.5750","35.1067,-106.6291",35.1067,-106.6291,13.2257,77.575,14636.635453843755,True,-51895235.0,False,4,1.9453516547838123,False,False,0.08294786575018809,False,False
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,2024-11-04 08:07:12,"29.8782,121.5494","35.1495,-90.0489",35.1495,-90.0489,29.8782,121.5494,12085.041856241072,True,-55003032.0,False,4,2.308844449884215,False,False,0.10844276141881332,False,False
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,2024-11-04 08:08:38,"37.5660,126.9784","33.4245,-111.8332",33.4245,-111.8332,37.566,126.9784,10072.078345911095,True,-44549230.0,False,4,2.167808163351015,False,False,0.12970033498761346,False,False
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,2024-11-04 08:07:06,"47.7994,13.0440","35.1495,-90.0489",35.1495,-90.0489,47.7994,13.044,8072.063856161164,True,-30209271.0,False,1,1.8163213910144254,False,False,0.1105517858705507,False,False
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,2024-11-04 08:10:09,"54.5893,18.4848","38.3287,-85.7647",38.3287,-85.7647,54.5893,18.4848,7450.006905549107,True,-54400572.0,False,3,2.6519750869288057,False,False,0.11003293732720631,False,False
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,2024-11-04 08:12:19,"25.0531,121.5264","39.7420,-104.9915",39.742,-104.9915,25.0531,121.5264,11366.963422584742,True,-28309728.0,False,4,2.0076684038078354,False,False,0.09959492485024352,False,False
TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,2024-11-04 08:07:35,"48.7000,9.0167","30.2666,-97.7333",30.2666,-97.7333,48.7,9.0167,8649.908700714217,True,-32022886.0,False,1,2.6139612039307334,False,False,0.103847402633726,False,False
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,2024-11-04 08:11:51,"31.2222,121.4581","39.9833,-82.9833",39.9833,-82.9833,31.2222,121.4581,11729.190300611453,True,-28129177.0,False,4,2.8001253020523857,False,False,0.07754664895692542,False,False
TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,2024-11-04 08:12:01,"48.2048,8.6486","35.1067,-106.6291",35.1067,-106.6291,48.2048,8.6486,8772.276921704708,True,-53709311.0,False,0,2.318242333579677,False,False,0.13225539555295474,False,False
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,2024-11-04 08:09:20,"3.5833,98.6667","39.9833,-82.9833",39.9833,-82.9833,3.5833,98.6667,15177.113037970174,True,-44459430.0,False,4,2.467010124528016,False,False,0.055755837748031944,False,False
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,2024-11-04 08:09:24,"37.5660,126.9784","34.0522,-118.2436",34.0522,-118.2436,37.566,126.9784,9606.69828791193,True,-53105546.0,False,4,2.924551754015684,False,False,0.08965715542026254,False,False
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,2024-11-04 08:08:13,"43.0667,141.3500","36.1147,-115.2014",36.1147,-115.2014,43.0667,141.35,8317.300031702036,True,-38929002.0,False,4,2.0717850157604527,False,False,0.11773052215095925,False,False
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,2024-11-04 08:07:01,"35.6895,139.6917","33.7537,-84.3863",33.7537,-84.3863,35.6895,139.6917,11060.0691790716,True,-44629966.0,False,4,1.645677455194288,False,False,0.13741148471018572,False,False
TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,2024-11-04 08:07:04,"-32.8908,-68.8272","32.7687,-97.3093",32.7687,-97.3093,-32.8908,-68.8272,7858.0729433111,True,-47655678.0,True,2,4.113990059723381,False,True,0.019785873276225385,False,True
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,2024-11-04 08:07:09,"36.0649,120.3804","35.7877,-78.6442",35.7877,-78.6442,36.0649,120.3804,11810.41890749767,True,-52932193.0,False,4,2.3762348868043452,False,False,0.11873484646981669,False,False
TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,2024-11-04 08:09:44,"-20.8823,55.4504","29.7499,-95.3584",29.7499,-95.3584,-20.8823,55.4504,16939.43015537172,True,-32883391.0,True,4,4.059707904626013,False,False,-0.022932074563330906,True,False
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,2024-11-04 08:11:38,"39.9539,-82.9301","25.7616,-80.1917",25.7616,-80.1917,39.9539,-82.9301,1594.4823043234815,False,-48958477.0,True,2,3.562590617359002,False,True,-0.003240347631388363,True,True
TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2024-11-04 08:11:59,"39.9690,-83.0114","43.0389,-87.9064",43.0389,-87.9064,39.969,-83.0114,532.0694406903552,False,-50599761.0,False,0,1.9813144522749233,False,False,0.1299064156300116,False,False
TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,2024-11-04 08:11:22,"-22.9056,-47.0608","36.1147,-115.2014",36.1147,-115.2014,-22.9056,-47.0608,9690.717024665664,True,-56130770.0,False,4,3.484538266308386,False,False,0.038795099364065555,False,False
TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,2024-11-04 08:08:30,"39.9690,-83.0114","42.3314,-83.0457",42.3314,-83.0457,39.969,-83.0114,262.37645798338406,False,-35478768.0,False,3,2.5949092425886153,False,False,0.08985702455901518,False,False
TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,2024-11-04 08:09:17,"42.3314,-83.0457","25.7616,-80.1917",25.7616,-80.1917,42.3314,-83.0457,1856.50760295152,False,-41091595.0,False,0,2.8471828722815213,False,False,0.07931609463975925,False,False
TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,2024-11-04 08:06:58,"41.2563,-95.9404","39.2992,-76.6093",39.2992,-76.6093,41.2563,-95.9404,1654.8486456346282,False,-55006954.0,False,3,2.694192251428703,False,False,0.09837017350722144,False,False
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,2024-11-04 08:11:13,"34.7333,136.5167","43.0000,-75.0000",43.0,-75.0,34.7333,136.5167,10822.386405019493,True,-35048713.0,True,2,3.433544948634583,False,True,0.02339938339230241,False,True
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,2024-11-04 08:07:50,"43.0731,-89.4012","34.0522,-118.2436",34.0522,-118.2436,43.0731,-89.4012,2689.143905788638,False,-51979466.0,False,1,2.417717385623132,False,False,0.09441505347273849,False,False
TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,2024-11-04 08:10:51,"52.3705,9.7332","37.7739,-122.4312",37.7739,-122.4312,52.3705,9.7332,8999.488118066643,True,-32282882.0,False,0,2.756968126351721,False,False,0.12948561700196798,False,False
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,2024-11-04 08:06:23,"18.9500,72.8167","47.6080,-122.3351",47.608,-122.3351,18.95,72.8167,12479.810396164774,True,-33233607.0,False,4,3.2456620901129365,False,False,0.047375356434261384,False,False
TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,2024-11-04 08:12:18,"39.9690,-83.0114","43.0389,-87.9064",43.0389,-87.9064,39.969,-83.0114,532.0694406903552,False,-30122014.0,False,3,2.491112479368889,False,False,0.11739562443079737,False,False
TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,2024-11-04 08:11:15,"32.2960,-81.2354","37.3354,-121.8930",37.3354,-121.893,32.296,-81.2354,3732.707533573118,False,-52928263.0,False,1,3.0508791544815175,False,False,0.07918775698029068,False,False
TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,2024-11-04 08:11:17,"35.8219,127.1489","33.4245,-111.8332",33.4245,-111.8332,35.8219,127.1489,10196.668618300482,True,-33577417.0,True,4,3.3004877818751557,False,False,0.04740630491353781,False,True
TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,2024-11-04 08:07:32,"37.5660,126.9784","35.4819,-97.5084",35.4819,-97.5084,37.566,126.9784,10710.946018825502,True,-56127012.0,False,4,2.4528150579189343,False,False,0.09978634924740137,False,False
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,2024-11-04 08:07:31,"32.7253,-114.6244","29.4243,-98.4911",29.4243,-98.4911,32.7253,-114.6244,1580.73753588774,False,-39878861.0,False,0,2.1889437616772893,False,False,0.12277609139506424,False,False
TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,2024-11-04 08:11:45,"57.1522,65.5272","39.9525,-75.1652",39.9525,-75.1652,57.1522,65.5272,8632.743332721919,True,-57427104.0,False,0,3.10063767323434,False,False,0.07143640707688492,False,False
TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,2024-11-04 08:09:03,"35.6895,139.6917","35.2270,-80.8431",35.227,-80.8431,35.6895,139.6917,11104.122280859934,True,-48690680.0,False,4,1.7682207357610846,False,False,0.13696841715859798,False,False
TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,2024-11-04 08:08:03,"45.5234,-122.6762","32.2534,-110.9117",32.2534,-110.9117,45.5234,-122.6762,1787.9620944919297,False,-49392266.0,False,3,2.5025573031989965,False,False,0.10658649981520202,False,False
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,2024-11-04 08:09:53,"38.0848,-0.9440","38.3287,-85.7647",38.3287,-85.7647,38.0848,-0.944,7134.092260450306,False,-40317445.0,False,0,1.8594947633250982,False,False,0.14324417163127734,False,False
TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,2024-11-04 08:11:12,"30.9706,31.1669","41.8818,-87.6231",41.8818,-87.6231,30.9706,31.1669,9798.412146630995,True,-34266103.0,False,4,2.5269920059120614,False,False,0.11705677254738789,False,False
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,2024-11-04 08:10:33,"31.2222,121.4581","39.2992,-76.6093",39.2992,-76.6093,31.2222,121.4581,11977.357883900317,True,-28224535.0,False,4,2.508104939497106,False,False,0.10414064181813176,False,False
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,2024-11-04 08:11:35,"-34.6131,-58.3772","35.4819,-97.5084",35.4819,-97.5084,-34.6131,-58.3772,8760.956754552086,True,-33838915.0,True,4,3.750943159531677,False,True,0.06983993311537195,False,True
TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,2024-11-04 08:07:24,"45.4643,9.1895","39.7420,-104.9915",39.742,-104.9915,45.4643,9.1895,8519.29971398424,True,-29604087.0,False,1,2.2534670757777993,False,False,0.11624808640292483,False,False
TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,2024-11-04 08:06:31,"47.6062,-122.3321","38.5905,-121.4899",38.5905,-121.4899,47.6062,-122.3321,1003.9240462646487,False,-50772073.0,False,3,2.127110849319002,False,False,0.10298566348224863,False,False
TX000051,AC00159,425.34,2023-02-13 16:59:39,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,2024-11-04 08:07:07,"48.1500,11.5833","39.0997,-94.5783",39.0997,-94.5783,48.15,11.5833,7914.808348440582,True,-54400048.0,False,0,2.4643537011389802,False,False,0.12031691591524951,False,False
TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,2024-11-04 08:09:02,"18.4885,-69.8571","41.2571,-95.9951",41.2571,-95.9951,18.4885,-69.8571,3542.702008918004,False,-53706187.0,False,3,2.5243053797709925,False,False,0.0835408657885392,False,False
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,2024-11-04 08:06:45,"51.2563,7.1482","36.8631,-76.0157",36.8631,-76.0157,51.2563,7.1482,6483.644075494539,False,-44551271.0,False,0,2.2096284006679796,False,False,0.12760457056623759,False,False
TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,2024-11-04 08:08:58,"39.9122,116.3561","32.7157,-117.1610",32.7157,-117.161,39.9122,116.3561,10264.954789167572,True,-36602251.0,False,4,2.2667642680213973,False,False,0.11205438254620514,False,False
