TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,PreviousTransactionDate,TimeSinceLastTransaction,Location_Latitude,Location_Longitude,IP_Prefix,IP_Encoded,TransactionFrequency,New_Device_Flag,Fraud,IP_Prefix_3,IP_Prefix_6,ip_loc,location_loc,location_lat,location_lon,ip_lat,ip_lon,distance_loc_ip,large_divergence,distance_range,KMeans_Cluster,KMeans_Distance,KMeans_Fraud,log_distance_loc_ip,ZScore_Fraud,IsoForest_Score,IsoForest_Fraud,LogReg_Fraud,Threat_Level,Max_Score,Risk_Level,Fraud_Score,Fraud_Score_Norm
TX001918,AC00382,1427.71,2023-01-24 17:26:34,Debit,New York,D000015,59.208.79.116,M086,Branch,64,Doctor,159,1,2024-11-04 08:09:30,-56126576.0,,,59.208.79,480,6,0,True,59.208.79,59.208.79.116,"39.9075,116.3972","43.0000,75.0000",43.0,75.0,39.9075,116.3972,3440.8685927596816,False,3400.0-3500.0,0,6.8270132845780065,True,8.14376979845981,True,-0.059353382339115135,True,True,4,6.8270132845780065,Critical,5.413506642289003,1.0
TX002216,AC00290,1413.24,2023-11-06 18:59:24,Debit,New York,D000356,166.41.54.117,M016,ATM,58,Engineer,199,1,2024-11-04 08:11:26,-31410722.0,,,166.41.54,197,4,0,True,166.41.54,166.41.54.117,"38.9318,-77.3527","43.0000,75.0000",43.0,75.0,38.9318,-77.3527,10513.369150165714,True,10500.0-10600.0,0,6.673302152486095,True,9.260498091107886,True,-0.04075451691022103,True,True,4,6.673302152486095,Critical,5.336651076243047,0.9815368154837067
TX000926,AC00230,697.82,2023-11-27 16:10:37,Debit,New York,D000377,161.25.82.11,M092,Online,44,Engineer,153,1,2024-11-04 08:07:11,-29606194.0,,,161.25.82,183,3,0,True,161.25.82,161.25.82.11,"-33.4569,-70.6483","43.0000,75.0000",43.0,75.0,-33.4569,-70.6483,16858.781626059375,True,16800.0-16900.0,1,6.351236743983649,True,9.732686279280944,True,-0.07692263785864317,True,True,4,6.351236743983649,Critical,5.175618371991824,0.9428515687968215
TX002494,AC00279,856.9,2023-03-17 16:10:35,Debit,New York,D000673,191.25.177.160,M088,Branch,36,Engineer,150,1,2024-11-04 08:09:52,-51638357.0,,,191.25.177,267,9,0,True,191.25.177,191.25.177.160,"-23.5475,-46.6361","43.0000,75.0000",43.0,75.0,-23.5475,-46.6361,14300.24925352664,True,14300.0-14400.0,1,6.322529463190096,True,9.568102172818781,True,-0.038099782847317964,True,True,4,6.322529463190096,Critical,5.161264731595049,0.9394033616628357
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,2024-11-04 08:11:13,-35048713.0,,,133.67.250,92,4,0,True,133.67.250,133.67.250.163,"34.7333,136.5167","43.0000,75.0000",43.0,75.0,34.7333,136.5167,5297.260016262725,False,5200.0-5300.0,2,6.266417486607422,True,8.575133746820004,True,-0.035370583893272856,True,True,4,6.266417486607422,Critical,5.133208743303711,0.932663408849266
TX002243,AC00252,1169.59,2023-12-25 17:12:21,Debit,New York,D000484,142.184.68.230,M067,Online,28,Student,114,1,2024-11-04 08:11:33,-27183552.0,,,142.184.68,120,2,0,True,142.184.68,142.184.68.230,"45.5088,-73.5878","43.0000,75.0000",43.0,75.0,45.5088,-73.5878,9720.11678733387,True,9700.0-9800.0,0,6.238626627098365,True,9.182055786670707,True,-0.002063132500488396,True,True,4,6.238626627098365,Critical,5.119313313549183,0.9293252786826411
TX000148,AC00161,514.95,2023-04-13 18:37:48,Debit,New York,D000109,23.92.205.75,M056,Online,41,Doctor,142,5,2024-11-04 08:10:01,-49296733.0,,,23.92.205,368,4,0,True,23.92.205,23.92.205.75,"39.7392,-104.9847","43.0000,75.0000",43.0,75.0,39.7392,-104.9847,10840.63959429432,True,10800.0-10900.0,2,6.222908499063197,True,9.291149517642083,True,-0.06415079184492667,True,True,4,6.222908499063197,Critical,5.111454249531599,0.9274372781571457
TX001115,AC00061,362.09,2023-02-27 16:59:07,Debit,New York,D000449,187.52.200.18,M093,Branch,32,Engineer,31,1,2024-11-04 08:07:38,-53190511.0,,,187.52.200,250,5,0,True,187.52.200,187.52.200.18,"-25.4278,-49.2731","43.0000,75.0000",43.0,75.0,-25.4278,-49.2731,14638.989244993503,True,14600.0-14700.0,1,6.165696411170889,True,9.591512052883441,True,-0.03416523986876652,True,True,4,6.165696411170889,Critical,5.082848205585444,0.9205651842434369
TX001691,AC00442,12.18,2023-04-20 18:50:39,Debit,New York,D000326,190.152.148.249,M088,Branch,76,Retired,77,1,2024-11-04 08:07:37,-48691018.0,,,190.152.148,263,9,0,True,190.152.148,190.152.148.249,"0.8119,-77.7173","43.0000,75.0000",43.0,75.0,0.8119,-77.7173,14444.202909260162,True,14400.0-14500.0,0,6.134983607920601,True,9.578117659825573,True,-0.052504071097531524,True,True,4,6.134983607920601,Critical,5.0674918039603005,0.9168760815369161
TX002059,AC00391,328.39,2023-11-09 16:47:01,Debit,New York,D000396,110.150.1.201,M013,ATM,41,Engineer,108,1,2024-11-04 08:11:57,-31159496.0,,,110.150.1,31,3,0,True,110.150.1,110.150.1.201,"-33.8678,151.2073","43.0000,75.0000",43.0,75.0,-33.8678,151.2073,11502.425639733035,True,11500.0-11600.0,1,6.1125662513764745,True,9.350400151709309,True,-0.013604403260565556,True,True,4,6.1125662513764745,Critical,5.056283125688237,0.9141833956877594
